,mu_V,mu_W,nu_W,sigma_V,sigma_W,tau_W
0,0.0,-0.0769028042603,0.966828693864,0.5,2.93757092084,1.5
1,0.0,-0.0769028042603,0.966828693864,0.601349920736,2.76294856605,1.5
2,0.0,-0.0769028042603,0.966828693864,0.601349920736,2.7129213304,1.5
3,0.0,-0.0769028042603,0.924213663046,0.622569731964,2.53298081776,1.60037538665
4,0.0871450188616,-0.112124681954,0.857217748646,0.790233693153,2.39411898655,1.67778297674
5,0.0871450188616,-0.174522076041,0.857217748646,0.926818244743,2.39411898655,1.67778297674
6,0.107135060185,-0.174522076041,0.849395368235,0.996434366891,2.36601091917,1.88138048403
7,0.176485145796,-0.292848079593,0.849395368235,0.996434366891,2.36601091917,1.88138048403
8,0.290992091977,-0.396736914593,0.849395368235,1.00995074556,2.28659650708,1.88138048403
9,0.315388819434,-0.396736914593,0.793301519499,1.00963656873,2.16823581896,1.88138048403
10,0.315388819434,-0.396736914593,0.793301519499,1.00963656873,2.16823581896,1.88138048403
11,0.511547289875,-0.396736914593,0.793301519499,1.00963656873,2.1503761169,1.88138048403
12,0.551224614458,-0.529469652451,0.793301519499,1.00963656873,2.06323122867,1.88138048403
13,0.551224614458,-0.542387644511,0.793301519499,1.00963656873,2.06323122867,1.88138048403
14,0.551224614458,-0.542387644511,0.805075687533,1.00963656873,1.97970069229,1.88138048403
15,0.551224614458,-0.542387644511,0.805075687533,1.00963656873,1.97970069229,1.99861062171
16,0.551224614458,-0.57891499873,0.805075687533,1.00963656873,1.96422263587,1.99861062171
17,0.604739595653,-0.58715437446,0.805075687533,1.00963656873,1.96422263587,1.99861062171
18,0.604739595653,-0.698694827243,0.805075687533,1.00963656873,1.90337143333,1.8968475408
19,0.604739595653,-0.698694827243,0.805075687533,1.00963656873,1.89499250407,1.8968475408
20,0.683752391254,-0.698694827243,0.805075687533,1.00963656873,1.86872576866,1.8968475408
21,0.683752391254,-0.698956499207,0.805075687533,1.00963656873,1.83394213146,1.8968475408
22,0.804714427348,-0.698956499207,0.866073862048,1.01743588867,1.82915477418,1.93793234296
23,0.806162819286,-0.698956499207,0.884711895586,1.01743588867,1.7807256512,1.93793234296
24,0.806162819286,-0.698956499207,0.884711895586,1.01743588867,1.7562269828,1.93793234296
25,0.806162819286,-0.698956499207,0.884711895586,1.01743588867,1.7562269828,1.93793234296
26,0.806162819286,-0.698956499207,0.878923533562,1.01743588867,1.7562269828,1.94055964248
27,0.806162819286,-0.698956499207,0.878923533562,1.01743588867,1.7562269828,1.96543864987
28,0.806162819286,-0.698956499207,0.878923533562,1.01743588867,1.65582428052,1.96543864987
29,0.806162819286,-0.687381010204,0.878923533562,1.01743588867,1.65582428052,1.96543864987
30,0.876283733465,-0.684876440491,0.878923533562,1.01743588867,1.65582428052,1.96543864987
